feature,importance
Target_Proxy_ret,686
carbon_emissions_futures_rz4,602
Target_Proxy_rmax4,471
thermal_coal_futures,444
steel_etf_rz26,392
vix_lag6,388
Target_Proxy_rz4,358
Target_Proxy_lag1,353
carbon_emissions_futures_ret,340
Target_Proxy_rz26,306
Target_Proxy_rz13,303
cny_inr_rz8,262
Target_Proxy_rmin4,254
zce_fesi_futures_rm13,248
thermal_coal_futures_ret,242
steel_etf_ret,236
Target_Proxy_lag4,231
zce_fesi_futures_lag13,231
Target_Proxy_rz8,230
zce_fesi_futures_lag4,229
thermal_coal_futures_rz26,215
zce_fesi_futures_lag26,212
silica_quartz_index_lag26,205
india_steel_ret,196
zce_fesi_futures_lag1,194
zce_fesi_futures_ret,192
vix_rz8,188
vix_ret,184
cny_inr_ret,182
Target_Proxy_lag2,179
steel_etf_rz8,178
india_steel_rz4,166
vix_lag8,166
cny_inr_rz4,166
zce_fesi_futures_rz8,166
vix_lag4,165
zce_fesi_futures_lag6,164
fx_effect,159
usd_inr_ret,158
electricity_power_index_ret,157
steel_etf_rz4,156
iron_ore_ret,156
week_of_year,155
silica_quartz_index_rz4,152
iron_ore_rz26,149
vix_rz13,146
vix_lag2,145
zce_fesi_futures,144
zce_fesi_futures_rz4,143
thermal_coal_futures_lag1,141
zce_fesi_futures_lag8,139
vix_lag26,138
fx_effect_lag26,138
Target_Proxy_rm4,136
iron_ore_rz8,133
silica_quartz_index_ret,132
silica_quartz_index_lag2,132
Target_Proxy_rmax8,131
fx_effect_ret,131
iron_ore_rz4,130
iron_ore_lag26,129
usd_inr_rz8,129
zce_fesi_futures_rm26,124
zce_fesi_futures_rmax4,123
steel_etf,120
zce_fesi_futures_rz13,120
zce_fesi_futures_rm8,119
fx_effect_rz8,118
vix,117
Target_Proxy_rm8,116
al_price_ret,115
steel_etf_rz13,113
vix_lag1,112
carbon_emissions_futures_rz8,111
fx_effect_lag13,110
zce_fesi_futures_rmin4,109
fx_effect_rz13,108
al_price_rz4,106
vix_lag13,106
thermal_coal_futures_rz4,105
electricity_power_index_rz13,105
thermal_coal_futures_rz8,104
zce_fesi_futures_rmin13,104
al_price_lag8,103
iron_ore_rz13,102
usd_inr_rz4,102
thermal_coal_futures_rz13,101
silica_quartz_index_lag13,101
thermal_coal_futures_lag6,99
electricity_power_index_rz26,99
thermal_coal_futures_lag4,98
cny_inr_rz13,98
carbon_emissions_futures_rz13,98
