date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2026-05-01,247.44012,102.6473,0.6447,104.963,106.6547,99.7806,12.3483,3614.6345,1247.8844,23.9924,94.6313,148.27,13.786,100.0,5628.0,74.71,174.0133,6.8643
2026-05-08,237.46363,98.5087,0.5757,103.7782,104.7982,101.2531,10.8353,3466.7208,1222.4356,20.2837,95.0326,148.27,13.786,100.0,5628.0,74.71,176.1385,6.8934
2026-05-15,234.9905,97.4828,0.5444,112.0241,103.9793,101.6928,9.8543,3439.8003,1232.733,16.7749,95.4709,148.27,13.786,100.0,5628.0,74.71,176.7731,6.9252
2026-05-22,236.99751,98.3153,0.5296,109.9766,112.2709,101.6454,9.2056,3550.3131,1173.3097,17.2673,94.2868,148.27,13.786,100.0,5628.0,74.71,176.7047,6.8393
2026-05-29,231.94837,96.2208,0.457,114.7477,113.1978,100.9856,9.0924,3426.2048,1141.0777,15.963,95.1789,148.27,13.786,100.0,5628.0,74.71,175.7524,6.904
2026-06-05,236.00111,97.902,0.4708,117.4378,111.5696,97.0576,9.6061,3555.6267,1191.7945,13.8881,95.1217,148.27,13.786,100.0,5628.0,74.71,170.0832,6.8999
2026-06-12,235.05092,97.5078,0.4352,115.8181,110.8562,90.9454,8.8713,3665.5333,1267.7151,13.6718,95.9713,148.27,13.786,100.0,5628.0,74.71,161.2614,6.9615
2026-06-19,241.29894,100.0997,0.3615,118.6579,118.1513,90.7787,10.0518,3419.0425,1317.4783,13.8097,95.9084,148.27,13.786,100.0,5628.0,74.71,161.0208,6.9569
2026-06-26,234.46273,97.2638,0.3672,118.3437,120.0087,99.0849,9.7548,3360.6755,1292.7954,15.9391,96.2787,148.27,13.786,100.0,5628.0,74.71,173.0091,6.9838
2026-07-03,238.02213,98.7404,0.3501,119.7167,124.9636,95.0852,9.5982,3342.6944,1216.7079,16.6556,96.5973,148.27,13.786,100.0,5628.0,74.71,167.2364,7.0069
2026-07-10,235.76066,97.8022,0.3389,112.9816,122.9609,93.2032,9.1143,3346.3877,1241.3841,22.4784,96.8504,148.27,13.786,100.0,5628.0,74.71,164.5201,7.0253
2026-07-17,241.4302,100.1542,0.3531,104.1709,122.9431,93.5577,11.0245,3346.2844,1260.8227,22.2783,96.1537,148.27,13.786,100.0,5628.0,74.71,165.0317,6.9747
2026-07-24,240.56217,99.7941,0.3288,108.6878,118.5798,101.6621,10.0071,3422.0874,1389.5369,18.9368,95.8769,148.27,13.786,100.0,5628.0,74.71,176.7288,6.9547
2026-07-31,237.66116,98.5906,0.2842,101.8607,119.0138,95.501,10.4368,3348.9493,1489.3712,16.6442,95.7662,148.27,13.786,100.0,5628.0,74.71,167.8365,6.9466
2026-08-07,235.3842,97.6461,0.288,103.5229,125.6242,86.8699,10.6511,3390.9915,1544.0295,13.6016,94.9582,148.27,13.786,100.0,5628.0,74.71,155.3793,6.888
2026-08-14,233.32292,96.791,0.3024,105.2986,127.5102,83.4672,10.9055,3436.1999,1500.1755,18.3083,95.391,148.27,13.786,100.0,5628.0,74.71,150.4681,6.9194
2026-08-21,237.3206,98.4494,0.2737,101.2475,131.7637,89.3958,10.3241,3549.8597,1530.3188,20.8385,96.8198,148.27,13.786,100.0,5628.0,74.71,159.0248,7.0231
2026-08-28,236.08223,97.9356,0.3509,97.7111,127.5515,89.0063,10.651,3594.1421,1589.1955,20.8273,97.9491,148.27,13.786,100.0,5628.0,74.71,158.4626,7.105
2026-09-04,234.4112,97.2424,0.2964,101.0421,123.2626,83.5663,11.1016,3585.8227,1642.1436,22.4174,97.9922,148.27,13.786,100.0,5628.0,74.71,150.6112,7.1081
2026-09-11,234.2634,97.1811,0.2563,99.4683,127.7232,84.6442,10.1762,3618.4097,1672.7587,19.4003,98.1935,148.27,13.786,100.0,5628.0,74.71,152.1669,7.1227
2026-09-18,230.73596,95.7178,0.3685,101.5679,130.758,90.2502,11.0611,3489.7654,1608.9751,21.0264,98.6498,148.27,13.786,100.0,5628.0,74.71,160.2581,7.1558
2026-09-25,236.92539,98.2854,0.3608,104.7083,137.0316,95.4963,11.6669,3470.7352,1665.4634,18.5279,98.5644,148.27,13.786,100.0,5628.0,74.71,167.8297,7.1496
2026-10-02,236.33952,98.0424,0.3716,116.8845,127.074,99.4614,10.4006,3435.6151,1748.6215,18.6803,97.8745,148.27,13.786,100.0,5628.0,74.71,173.5525,7.0996
2026-10-09,236.03165,97.9147,0.3869,113.4995,128.2725,99.744,9.9553,3669.0482,1800.0079,13.4605,98.0851,148.27,13.786,100.0,5628.0,74.71,173.9604,7.1148
2026-10-16,232.83814,96.5899,0.3878,109.8822,127.7447,102.778,10.6628,3554.8345,1776.7256,12.4462,97.6937,148.27,13.786,100.0,5628.0,74.71,178.3394,7.0864
2026-10-23,239.87565,99.5093,0.3998,104.1102,132.6798,116.5171,11.5606,3411.9289,1742.312,15.2296,97.2625,148.27,13.786,100.0,5628.0,74.71,198.169,7.0552
2026-10-30,239.80289,99.4791,0.3917,100.1444,132.4256,96.2301,10.758,3397.1944,1652.9224,19.765,96.3222,148.27,13.786,100.0,5628.0,74.71,168.8888,6.987
2026-11-06,237.60786,98.5685,0.3686,107.3309,124.9653,103.0858,10.8082,3311.1968,1688.5012,20.3723,95.9666,148.27,13.786,100.0,5628.0,74.71,178.7836,6.9612
2026-11-13,233.71836,96.955,0.3398,108.2425,128.4406,113.2219,9.8967,3532.8315,1553.6071,19.8477,96.4408,148.27,13.786,100.0,5628.0,74.71,193.413,6.9956
2026-11-20,233.13493,96.713,0.3503,107.5542,125.9442,109.3613,10.5786,3579.2243,1509.4958,22.9,96.7168,148.27,13.786,100.0,5628.0,74.71,187.841,7.0156
2026-11-27,233.05254,96.6788,0.3353,103.866,123.1567,114.3085,11.107,3586.2212,1518.9181,28.0796,96.3583,148.27,13.786,100.0,5628.0,74.71,194.9813,6.9896
2026-12-04,233.03887,96.6731,0.3232,103.135,128.8455,120.0315,11.8373,3734.1123,1521.9698,31.2874,96.1958,148.27,13.786,100.0,5628.0,74.71,203.2414,6.9778
2026-12-11,230.53177,95.6331,0.3347,103.8813,132.0587,114.3807,13.8695,3635.0506,1445.5633,37.6382,96.805,148.27,13.786,100.0,5628.0,74.71,195.0856,7.022
2026-12-18,230.24159,95.5127,0.3097,104.1001,127.3691,114.9051,13.2302,3748.0554,1437.8444,32.9143,96.6296,148.27,13.786,100.0,5628.0,74.71,195.8425,7.0093
